id,age,province,marital_status,employment_income,num_t4_slips,self_employed,business_structure,industry,business_revenue,years_in_business,gst_registered,investment_income,num_t5_slips,pension_income,num_t4a_slips,rrsp_withdrawal,student_status,tuition_paid,has_children,num_dependents,residency_status,arrival_year,ei_received,social_assistance,disability_benefit,rent_paid,property_tax,major_life_event,income_type_count,hours_worked_per_week,owns_home,moved_province_this_year,has_capital_gains,num_business_employees,recommended_form
1,69,,married,0,0,no,none,,0,0,no,466,2,0,0,0,no,0,no,0,non_resident,,no,no,yes,0,0,none,1,0,yes,no,yes,0,NR4
2,75,QC,single,84478,1,yes,sole_prop,delivery,128855,14,yes,0,0,1899,2,0,no,0,no,0,resident,,no,no,no,12792,0,married,3,18,yes,no,no,27,T2125
3,77,MB,married,106530,1,no,none,,0,0,no,0,0,1021,1,0,no,0,no,0,resident,,yes,no,no,4995,0,new_child,2,17,no,no,no,0,T4RIF
4,79,MB,single,9268,3,no,none,,0,0,no,0,0,39976,0,0,no,0,yes,1,resident,,no,no,no,10736,0,married,2,14,no,no,no,0,T4RIF
5,45,QC,single,0,0,no,none,,0,0,no,14039,0,0,0,0,no,0,no,0,newcomer,2024,no,no,no,0,0,none,1,0,yes,no,yes,0,RC151
6,32,QC,single,50015,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,new_child,1,51,no,no,no,0,T1
7,23,QC,single,18047,1,yes,sole_prop,carpentry,49262,14,yes,12221,0,0,0,0,no,0,no,0,resident,,yes,no,no,17545,0,job_change,3,41,no,no,no,48,T2125
8,79,,common_law,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,non_resident,,yes,no,no,9855,0,none,0,0,yes,no,no,0,NR4
9,49,NS,married,98506,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,15589,0,new_child,1,45,yes,no,no,0,T1
10,36,NS,single,84896,3,no,none,,0,0,no,8155,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,11,no,no,no,0,T1
11,54,NS,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2022,no,no,no,0,0,none,0,0,yes,no,no,0,RC151
12,35,BC,single,50108,0,no,corporation,software,500047,4,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,22077,0,none,1,17,no,no,no,29,T2
13,45,ON,single,45714,3,yes,sole_prop,consulting,110983,1,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,job_change,2,30,yes,no,no,2,T2125
14,35,NS,married,103746,3,yes,sole_prop,construction,77991,6,no,10729,1,0,0,0,no,0,no,0,resident,,no,no,no,20921,0,new_child,3,22,yes,no,yes,35,T2125
15,62,SK,married,87922,2,yes,sole_prop,construction,214729,7,no,3769,2,22677,1,0,no,0,no,0,resident,,yes,no,no,18599,0,none,4,14,no,no,no,31,T2125
16,64,QC,single,17019,1,no,none,,0,0,no,11867,1,25945,0,0,no,0,yes,1,resident,,no,no,no,17407,0,moved_province,3,49,no,yes,no,0,T4RIF
17,78,NS,single,67215,2,no,corporation,delivery,467556,1,no,0,0,29124,1,0,no,0,no,0,resident,,no,no,no,18069,0,none,2,40,yes,no,no,31,T2
18,18,MB,single,51991,3,no,corporation,real_estate,741747,8,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,21,yes,no,yes,49,T2
19,52,BC,single,114585,1,yes,sole_prop,construction,62458,9,no,0,0,0,0,0,no,0,no,0,resident,,yes,no,no,0,0,none,2,44,no,no,no,17,T2125
20,41,MB,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2022,no,no,no,0,0,none,0,0,no,no,yes,0,RC151
21,45,,common_law,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,non_resident,,no,no,no,0,0,none,0,0,no,no,yes,0,NR4
22,22,MB,single,6801,2,yes,sole_prop,finance,218945,12,no,0,0,0,0,0,yes,14704,no,0,resident,,no,no,no,17807,0,new_child,2,26,no,no,no,3,T2125
23,53,NS,single,26790,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,moved_province,1,37,no,yes,no,0,T1
24,42,SK,single,0,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,newcomer,2023,no,no,no,0,2256,none,0,0,yes,no,no,0,RC151
25,71,NS,single,78859,1,no,none,,0,0,no,0,0,667,0,0,no,0,yes,2,resident,,no,no,no,8835,0,moved_province,2,26,yes,yes,no,0,T4RIF
26,46,AB,married,136785,2,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,yes,yes,no,0,0,none,1,30,no,no,no,0,T1
27,76,MB,single,75880,2,yes,sole_prop,software,177015,7,no,0,0,32606,0,0,no,0,no,0,resident,,no,no,no,9997,0,none,3,13,yes,no,no,31,T2125
28,51,NS,married,61877,1,no,none,,0,0,no,0,0,0,0,0,no,0,yes,1,resident,,no,no,yes,0,0,moved_province,1,48,yes,yes,yes,0,RC66
29,55,BC,single,75745,3,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,1,14,no,no,no,0,T1
30,60,AB,single,137162,1,no,none,,0,0,no,0,0,18271,2,0,no,0,no,0,resident,,no,no,no,8777,0,none,2,10,no,no,no,0,T4RIF
31,63,SK,single,23624,1,no,none,,0,0,no,6493,2,19262,0,13568,no,0,yes,1,resident,,no,no,no,0,0,none,4,33,no,no,yes,0,T4RIF
32,76,NS,married,82838,1,no,corporation,construction,650265,6,no,8152,2,10267,1,0,no,0,no,0,resident,,yes,no,no,10168,0,married,3,54,no,no,no,21,T2
33,51,ON,married,100776,0,no,none,,0,0,no,0,0,0,0,0,no,0,no,0,resident,,no,no,no,9622,0,new_child,1,39,yes,no,no,0,T1
34,20,MB,common_law,16389,1,no,none,,0,0,no,117,0,0,0,0,no,0,no,0,resident,,no,no,no,0,0,none,2,35,yes,no,no,0,T1
