id,age,province,marital_status,residency_status,arrival_year,employment_income,num_t4_slips,work_from_home,hours_worked_per_week,self_employed,business_structure,industry,business_revenue,years_in_business,gst_registered,num_business_employees,investment_income,num_t5_slips,has_capital_gains,foreign_assets,trust_income,rental_income,pension_income,num_t4a_slips,rrsp_withdrawal,student_status,tuition_paid,has_children,num_dependents,ei_received,social_assistance,disability_benefit,owns_home,rent_paid,property_tax,property_sold,major_life_event,moved_province_this_year,income_type_count,tfsa_excess,recommended_forms,num_forms_required
1,69,,married,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,none,no,0,no,NR4,1
2,41,MB,divorced,resident,,0,0,no,0,no,none,,0,0,no,0,6896,1,yes,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,9734,no,none,no,1,no,"SCH3,T1,T5",3
3,24,NS,single,resident,,0,0,no,0,no,none,,0,0,no,0,7141,2,no,0,0,0,0,0,0,no,0,no,0,yes,no,no,no,9943,0,no,new_child,no,1,no,"T1,T5",2
4,71,SK,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,34253,1,0,no,0,no,0,no,no,no,yes,0,9208,no,none,no,1,yes,"T1,T4RIF,RC383",3
5,26,NB,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,21265,0,no,none,no,0,no,T1,1
6,79,AB,married,resident,,70592,1,no,40,no,none,,0,0,no,0,23822,1,no,443852,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,6636,no,none,no,2,no,"T1,T5,T1135",3
7,83,PE,single,resident,,0,0,no,0,no,none,,0,0,no,0,10730,3,yes,128376,0,0,65016,1,10530,no,0,no,0,no,no,no,no,23879,0,no,married,no,2,no,"T4RSP,T1135,T5,T4RIF,T1,SCH3",6
8,75,,single,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,none,no,0,no,NR4,1
9,73,ON,divorced,resident,,0,0,no,0,yes,sole_prop,consulting,18221,4,no,0,5431,1,no,0,0,0,50545,1,0,no,0,yes,2,no,no,yes,no,29482,0,no,none,no,3,no,"RC66,ON479,T5,T2125,RC62,T4RIF,T1",7
10,37,QC,divorced,resident,,100689,2,no,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,26932,0,no,job_change,no,1,no,T1,1
11,36,AB,common_law,resident,,59040,1,yes,50,yes,corporation,retail,52457,5,yes,25,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,yes,yes,0,6911,no,moved_province,yes,2,no,"T2,GST34,T2125,T2200,T1",5
12,76,NS,single,resident,,0,0,no,0,no,none,,0,0,no,0,16136,1,no,0,0,0,0,0,0,no,0,yes,2,no,no,no,no,20434,0,no,married,no,1,no,"RC66,T1,T5,RC62",4
13,63,,divorced,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,0,0,no,none,no,0,no,NR4,1
14,49,AB,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,6569,0,no,retired,no,0,no,"T1,RC151,T1135",3
15,63,SK,single,resident,,10729,2,no,40,no,none,,0,0,no,0,19690,1,yes,0,0,0,55091,2,0,no,0,no,0,no,no,no,yes,0,7919,no,none,no,3,no,"T4RIF,SCH3,T1,T5",4
16,39,SK,single,resident,,95285,1,yes,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,19417,0,no,none,no,1,no,"T2200,T1",2
17,75,MB,single,resident,,1150,1,no,35,yes,sole_prop,construction,24754,1,no,0,0,0,no,0,0,0,66156,1,6679,no,0,yes,1,no,no,no,yes,0,8617,no,none,no,3,no,"T4RSP,RC66,T2125,T4RIF,T1",5
18,40,SK,married,resident,,171230,1,no,50,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,10000,0,no,new_child,no,1,no,T1,1
19,82,,common_law,non_resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,1,no,no,no,no,0,0,no,none,no,0,no,NR4,1
20,19,BC,married,resident,,25351,1,no,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,14338,no,0,no,no,no,no,17657,0,no,none,no,1,no,"SCH11,T2202,T1",3
21,53,NS,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,9400,no,none,no,0,no,T1,1
22,69,MB,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,89780,0,0,47497,1,0,no,0,no,0,no,no,no,no,17516,0,no,job_change,no,1,no,"T1,T4RIF",2
23,57,BC,common_law,resident,,88092,1,no,35,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,yes,3,no,no,no,yes,0,6268,yes,none,no,1,no,"RC66,T1,RC62,T2091",4
24,78,NS,married,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,7214,0,no,none,no,0,no,"T1,RC151,T1135",3
25,42,SK,single,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,28700,0,no,none,no,0,no,"T1,RC151,T1135",3
26,38,MB,widowed,resident,,91362,1,yes,40,yes,sole_prop,legal,28408,3,no,0,0,0,no,0,0,0,0,0,18323,no,0,no,0,yes,no,no,yes,0,11337,no,none,no,2,no,"T4RSP,T2200,T1,T2125",4
27,58,SK,single,resident,,55284,2,no,40,yes,corporation,manufacturing,82110,5,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,8970,no,job_change,no,2,no,"T2,GST34,T2125,T1213,T2200,T1",6
28,72,ON,married,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,29574,0,no,new_child,no,0,no,"T1,ON479,RC151,T1135",4
29,54,AB,single,resident,,38765,1,yes,45,no,none,,0,0,no,0,14930,1,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,6719,no,none,no,2,no,"T2200,T1,T5",3
30,68,BC,single,newcomer,2023,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,29386,0,no,none,no,0,no,"T1,RC151,T1135",3
31,69,ON,married,resident,,0,0,no,0,no,none,,0,0,no,0,23211,2,no,364612,0,0,14300,1,0,no,0,yes,2,no,no,no,no,18647,0,no,married,no,2,no,"RC66,ON479,T1135,T5,RC62,T4RIF,T1032,T1",8
32,84,BC,married,resident,,57108,1,yes,40,yes,sole_prop,consulting,79116,4,yes,0,14624,1,yes,0,0,0,55162,2,34721,no,0,no,0,no,no,no,yes,0,2055,no,moved_province,yes,4,no,"T4RSP,GST34,T5,T2125,T4RIF,T1032,T2200,T1,SCH3",9
33,31,AB,married,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,48441,0,0,0,no,0,yes,2,no,no,no,yes,0,2125,no,job_change,no,1,no,"RC66,T776,T1,RC62",4
34,27,BC,single,resident,,12910,1,no,50,yes,sole_prop,photography,47628,2,yes,0,0,0,no,0,0,0,0,0,0,yes,13516,no,0,no,no,no,no,29370,0,no,none,no,2,no,"T1,GST34,T2125,T2202,SCH11",5
35,26,AB,single,resident,,9111,1,yes,45,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,yes,16234,no,0,no,no,no,no,21385,0,no,none,no,1,no,"T2202,T2200,T1,SCH11",4
36,36,QC,single,resident,,104537,1,yes,40,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,yes,0,3342,no,new_child,no,1,no,"T2200,T1,TP64.3",3
37,52,ON,common_law,resident,,42929,1,no,45,no,none,,0,0,no,0,0,0,no,87388,0,13415,0,0,0,no,0,yes,1,no,no,no,yes,0,6227,no,moved_province,yes,2,no,"RC66,T776,T1,ON479",4
38,31,SK,married,newcomer,2024,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,0,0,0,no,0,no,0,no,no,no,no,8192,0,no,job_change,no,0,no,"T1,RC151,T1135",3
39,83,NB,single,resident,,0,0,no,0,no,none,,0,0,no,0,0,0,no,0,0,0,35053,2,0,no,0,yes,1,no,no,yes,no,10612,0,no,job_change,no,1,no,"RC66,T1,T4RIF",3
